,0
2296,4772
2297,12966
2298,4776
2299,12971
2300,12981
2301,12985
2302,4794
2303,4797
2304,4799
2305,12992
2306,4806
2307,13002
2308,4814
2309,4819
2310,4820
2311,4823
2312,2587
2313,13018
2314,4834
2315,4836
2316,4837
2317,13042
2318,13053
2319,13055
2320,4875
2321,4876
2322,4877
2323,13074
2324,4882
2325,4885
2326,4888
2327,4889
2328,4890
2329,4899
2330,13092
2331,13093
2332,4905
2333,4907
2334,4909
2335,13106
2336,13116
2337,13117
2338,13118
2339,13120
2340,4929
2341,4931
2342,4933
2343,13125
2344,4935
2345,13128
2346,4937
2347,4939
2348,4940
2349,4948
2350,4949
2351,13143
2352,4952
2353,4957
2354,4962
2355,4969
2356,13171
2357,4982
2358,4987
2359,13180
2360,4988
2361,13179
2362,4990
2363,13187
2364,13188
2365,4997
2366,5003
2367,5006
2368,5007
2369,13199
2370,5011
2371,13204
2372,13207
2373,13208
2374,5027
2375,13220
2376,13223
2377,13226
2378,5035
2379,5037
2380,5038
2381,5039
2382,5040
2383,5041
2384,13239
2385,5048
2386,13244
2387,5053
2388,5055
2389,5057
2390,13249
2391,13256
2392,5066
2393,13263
2394,5074
2395,13266
2396,5076
2397,5077
2398,13271
2399,5086
2400,5087
2401,13281
2402,5090
2403,5098
2404,5105
2405,13299
2406,5109
2407,5111
2408,13303
2409,5117
2410,13312
2411,5122
2412,13317
2413,5126
2414,5127
2415,13322
2416,5130
2417,13324
2418,13325
2419,5136
2420,5145
2421,13338
2422,5146
2423,13342
2424,13344
2425,5153
2426,5159
2427,13353
2428,13360
2429,5172
2430,5174
2431,5175
2432,13368
2433,13367
2434,5179
2435,13377
2436,5186
2437,5188
2438,5196
2439,13392
2440,5210
2441,13403
2442,13407
2443,5219
2444,13414
2445,5223
2446,5226
2447,13421
2448,5230
2449,5233
2450,5234
2451,13428
2452,13429
2453,5239
2454,13435
2455,13436
2456,13444
2457,13446
2458,13449
2459,13450
2460,5259
2461,5261
2462,13453
2463,5264
2464,13457
2465,13466
2466,5278
2467,13473
2468,13477
2469,13478
2470,13483
2471,5293
2472,13486
2473,5300
2474,5314
2475,5315
2476,5316
2477,13506
2478,13515
2479,5323
2480,13518
2481,13519
2482,5329
2483,13521
2484,13522
2485,5333
2486,5336
2487,5340
2488,5341
2489,5347
2490,13540
2491,13544
2492,5353
2493,5354
2494,13557
2495,5369
2496,13565
2497,13572
2498,5382
2499,13575
2500,5388
2501,13581
2502,5394
2503,5400
2504,5401
2505,5405
2506,5406
2507,5407
2508,13601
2509,5411
2510,13603
2511,13605
2512,5417
2513,13611
2514,5425
2515,13621
2516,5430
2517,13624
2518,13627
2519,13628
2520,5439
2521,13634
2522,5443
2523,13636
2524,13640
2525,5452
2526,5454
2527,13647
2528,13648
2529,5459
2530,5460
2531,13656
2532,5473
